date,category,amount,city,amount_usd
2026-01-05,food,120,Minneapolis,1.4457831325301205
2026-01-06,travel,80,Hyderabad,0.963855421686747
2026-01-07,food,45,Minneapolis,0.5421686746987951
2026-01-08,rent,900,Minneapolis,10.843373493975903
2026-01-09,food,150,Hyderabad,1.8072289156626506
2026-01-10,travel,220,Minneapolis,2.6506024096385543
2026-01-11,utilities,60,Hyderabad,0.7228915662650602
2026-01-12,food,300,Minneapolis,3.6144578313253013
2026-01-13,travel,40,Hyderabad,0.4819277108433735
2026-01-14,rent,900,Hyderabad,10.843373493975903
